StatisticsCourse,Rating,Units,SalaryPostGrad
STAT 100: Introduction to Statistics (or equivalent),3,7,68000
STAT 100: Introduction to Statistics (or equivalent),2,18,60000
STAT 250: Applied Statistics for Science and Tech,3,15,80000
STAT 100: Introduction to Statistics (or equivalent),3,17,80000
STAT 250: Applied Statistics for Science and Tech,4,15,50000
STAT 100: Introduction to Statistics (or equivalent),3,13,90000
MATH 320: Applied Probablity and Statistics,3,15,60000
AP Statistics (High School),3,18,70000
STAT 250: Applied Statistics for Science and Tech,3,15,60000
STAT 100: Introduction to Statistics (or equivalent),1,12,85000
STAT 100: Introduction to Statistics (or equivalent),3,15,80000
AP Statistics (High School),4,21,200000
STAT 250: Applied Statistics for Science and Tech,4,18,50000
STAT 100: Introduction to Statistics (or equivalent),1,18,50000
STAT 100: Introduction to Statistics (or equivalent),1,14,60000
STAT 250: Applied Statistics for Science and Tech,3,17,100000
STAT 250: Applied Statistics for Science and Tech,4,19,80000
AP Statistics (High School),4,18,80000
AP Statistics (High School),3,10,80000
STAT 100: Introduction to Statistics (or equivalent),3,16,60000
STAT 100: Introduction to Statistics (or equivalent),4,14,1000000
STAT 250: Applied Statistics for Science and Tech,3,15,80000
STAT 250: Applied Statistics for Science and Tech,3,16,75000
